acc_kept,class_id,class_name,dataset,kept,rejected,rejection_rate,seed,total
1.0,2,Apple - cedar apple rust,F_new,275,0,0.0,55,275
1.0,3,Cherry - powdery mildew,F_new,746,306,0.2908745247148289,55,1052
1.0,4,Grape - esca black measles,F_new,780,603,0.4360086767895879,55,1383
1.0,5,Grape - leaf blight,F_new,498,578,0.5371747211895911,55,1076
1.0,6,Orange - citrus greening,F_new,2973,2534,0.46014163791538043,55,5507
1.0,7,Peach - bacterial spot,F_new,1185,1112,0.48410970831519373,55,2297
1.0,8,Strawberry - leaf scorch,F_new,728,381,0.3435527502254283,55,1109
0.9991610738255033,0,Corn - common rust,V_new,1192,0,0.0,11,1192
0.9979695431472081,1,Corn - northern leaf blight,V_new,985,0,0.0,11,985
0.9951515151515151,2,Bell pepper - bacterial spot,V_new,825,172,0.17251755265797392,11,997
1.0,3,Potato - early blight,V_new,1000,0,0.0,11,1000
0.9919597989949749,4,Potato - late blight,V_new,995,5,0.005,11,1000
1.0,5,Squash - powdery mildew,V_new,1599,236,0.12861035422343325,11,1835
0.995346131471786,6,Tomato - bacterial spot,V_new,1719,408,0.1918194640338505,11,2127
0.9973190348525469,7,Tomato - late blight,V_new,1492,409,0.21514992109416098,11,1901
0.9852941176470589,8,Tomato - septoria leaf spot,V_new,1224,547,0.30886504799548276,11,1771
1.0,9,Tomato - two-spotted spider mite,V_new,1614,62,0.03699284009546539,11,1676
1.0,10,Tomato - mosaic virus,V_new,373,0,0.0,11,373
0.9641736401673641,11,Tomato - yellow leaf curl virus,V_new,3824,1533,0.2861676311368303,11,5357
0.9991610738255033,0,Corn - common rust,V_new,1192,0,0.0,22,1192
0.9979695431472081,1,Corn - northern leaf blight,V_new,985,0,0.0,22,985
0.9952153110047847,2,Bell pepper - bacterial spot,V_new,836,161,0.16148445336008024,22,997
1.0,3,Potato - early blight,V_new,509,491,0.491,22,1000
0.9919436052366566,4,Potato - late blight,V_new,993,7,0.007,22,1000
1.0,5,Squash - powdery mildew,V_new,1632,203,0.1106267029972752,22,1835
0.9958049292081804,6,Tomato - bacterial spot,V_new,1907,220,0.10343206393982135,22,2127
0.9979770734996628,7,Tomato - late blight,V_new,1483,418,0.21988427143608627,22,1901
0.9908361970217641,8,Tomato - septoria leaf spot,V_new,1746,25,0.014116318464144552,22,1771
0.9993891264508247,9,Tomato - two-spotted spider mite,V_new,1637,39,0.023269689737470168,22,1676
1.0,10,Tomato - mosaic virus,V_new,373,0,0.0,22,373
0.9679826673086181,11,Tomato - yellow leaf curl virus,V_new,4154,1203,0.22456598842635803,22,5357
0.9990215264187867,0,Corn - common rust,V_new,1022,170,0.14261744966442952,33,1192
0.9979695431472081,1,Corn - northern leaf blight,V_new,985,0,0.0,33,985
0.9959432048681541,2,Bell pepper - bacterial spot,V_new,986,11,0.011033099297893681,33,997
1.0,3,Potato - early blight,V_new,894,106,0.106,33,1000
0.9949545913218971,4,Potato - late blight,V_new,991,9,0.009,33,1000
1.0,5,Squash - powdery mildew,V_new,1125,710,0.3869209809264305,33,1835
0.9929453262786596,6,Tomato - bacterial spot,V_new,1134,993,0.46685472496473907,33,2127
0.9983484723369116,7,Tomato - late blight,V_new,1211,690,0.36296685954760655,33,1901
0.9955323901712584,8,Tomato - septoria leaf spot,V_new,1343,428,0.24167137210615472,33,1771
1.0,9,Tomato - two-spotted spider mite,V_new,1657,19,0.011336515513126491,33,1676
1.0,10,Tomato - mosaic virus,V_new,373,0,0.0,33,373
0.9855872431769396,11,Tomato - yellow leaf curl virus,V_new,3261,2096,0.39126376703378757,33,5357
0.999117387466902,0,Corn - common rust,V_new,1133,59,0.04949664429530201,44,1192
0.9979695431472081,1,Corn - northern leaf blight,V_new,985,0,0.0,44,985
0.9951573849878934,2,Bell pepper - bacterial spot,V_new,826,171,0.1715145436308927,44,997
1.0,3,Potato - early blight,V_new,533,467,0.467,44,1000
0.9919436052366566,4,Potato - late blight,V_new,993,7,0.007,44,1000
1.0,5,Squash - powdery mildew,V_new,1205,630,0.34332425068119893,44,1835
0.9951632406287787,6,Tomato - bacterial spot,V_new,1654,473,0.22237893747061588,44,2127
0.9979770734996628,7,Tomato - late blight,V_new,1483,418,0.21988427143608627,44,1901
0.9914334665905197,8,Tomato - septoria leaf spot,V_new,1751,20,0.01129305477131564,44,1771
0.9993990384615384,9,Tomato - two-spotted spider mite,V_new,1664,12,0.007159904534606206,44,1676
1.0,10,Tomato - mosaic virus,V_new,373,0,0.0,44,373
0.9636560889612151,11,Tomato - yellow leaf curl virus,V_new,3687,1670,0.3117416464439052,44,5357
1.0,0,Corn - common rust,V_new,1191,1,0.0008389261744966443,55,1192
0.9966044142614601,1,Corn - northern leaf blight,V_new,589,396,0.4020304568527919,55,985
0.995085995085995,2,Bell pepper - bacterial spot,V_new,814,183,0.18355065195586762,55,997
1.0,3,Potato - early blight,V_new,1000,0,0.0,55,1000
0.991869918699187,4,Potato - late blight,V_new,984,16,0.016,55,1000
1.0,5,Squash - powdery mildew,V_new,1614,221,0.12043596730245232,55,1835
0.9959016393442623,6,Tomato - bacterial spot,V_new,1952,175,0.08227550540667607,55,2127
0.9984218832193582,7,Tomato - late blight,V_new,1901,0,0.0,55,1901
0.9908361970217641,8,Tomato - septoria leaf spot,V_new,1746,25,0.014116318464144552,55,1771
0.9993838570548367,9,Tomato - two-spotted spider mite,V_new,1623,53,0.03162291169451074,55,1676
1.0,10,Tomato - mosaic virus,V_new,373,0,0.0,55,373
0.9677729677729677,11,Tomato - yellow leaf curl virus,V_new,4158,1199,0.22381930184804927,55,5357
0.9975124378109452,0,Cashew - leaf miner,M_new,402,153,0.2756756756756757,11,555
0.9915014164305949,1,Cashew - red rust,M_new,353,212,0.3752212389380531,11,565
0.8831168831168831,2,Corn - leaf blight,M_new,385,105,0.21428571428571427,11,490
0.9183673469387755,3,Corn - streak virus,M_new,245,152,0.38287153652392947,11,397
0.996309963099631,4,Potato - fungi,M_new,271,115,0.2979274611398964,11,386
0.7580645161290323,5,Potato - nematode,M_new,62,6,0.08823529411764706,11,68
0.9933993399339934,6,Rice - bacterial leaf blight,M_new,303,27,0.08181818181818182,11,330
0.8708487084870848,7,Rice - brown spot,M_new,271,54,0.16615384615384615,11,325
0.825503355704698,8,Rice - leaf blast,M_new,298,36,0.10778443113772455,11,334
0.911275415896488,9,Tomato - septoria leaf spot,M_new,541,178,0.24756606397774686,11,719
0.7769423558897243,10,Tomato - Verticillium wilt,M_new,399,274,0.40713224368499257,11,673
0.9975786924939467,0,Cashew - leaf miner,M_new,413,142,0.25585585585585585,22,555
0.9927184466019418,1,Cashew - red rust,M_new,412,153,0.27079646017699116,22,565
0.8354755784061697,2,Corn - leaf blight,M_new,389,101,0.20612244897959184,22,490
0.9525423728813559,3,Corn - streak virus,M_new,295,102,0.25692695214105793,22,397
0.8838951310861424,4,Potato - fungi,M_new,267,119,0.3082901554404145,22,386
0.7833333333333333,5,Potato - nematode,M_new,60,8,0.11764705882352941,22,68
0.99079754601227,6,Rice - bacterial leaf blight,M_new,326,4,0.012121212121212121,22,330
0.7877697841726619,7,Rice - brown spot,M_new,278,47,0.14461538461538462,22,325
0.9003831417624522,8,Rice - leaf blast,M_new,261,73,0.218562874251497,22,334
0.8212058212058212,9,Tomato - septoria leaf spot,M_new,481,238,0.33101529902642557,22,719
0.8981233243967829,10,Tomato - Verticillium wilt,M_new,373,300,0.4457652303120357,22,673
0.9978308026030369,0,Cashew - leaf miner,M_new,461,94,0.16936936936936936,33,555
0.9943181818181818,1,Cashew - red rust,M_new,352,213,0.3769911504424779,33,565
0.7898832684824902,2,Corn - leaf blight,M_new,257,233,0.47551020408163264,33,490
0.9495798319327731,3,Corn - streak virus,M_new,238,159,0.4005037783375315,33,397
0.9213836477987422,4,Potato - fungi,M_new,318,68,0.17616580310880828,33,386
0.7894736842105263,5,Potato - nematode,M_new,57,11,0.16176470588235295,33,68
0.992831541218638,6,Rice - bacterial leaf blight,M_new,279,51,0.15454545454545454,33,330
0.734006734006734,7,Rice - brown spot,M_new,297,28,0.08615384615384615,33,325
0.9207317073170732,8,Rice - leaf blast,M_new,328,6,0.017964071856287425,33,334
0.7413793103448276,9,Tomato - septoria leaf spot,M_new,522,197,0.27399165507649514,33,719
0.9384615384615385,10,Tomato - Verticillium wilt,M_new,455,218,0.32392273402674593,33,673
0.9976415094339622,0,Cashew - leaf miner,M_new,424,131,0.23603603603603604,44,555
0.9932432432432432,1,Cashew - red rust,M_new,444,121,0.21415929203539824,44,565
0.8,2,Corn - leaf blight,M_new,285,205,0.41836734693877553,44,490
0.9303030303030303,3,Corn - streak virus,M_new,330,67,0.16876574307304787,44,397
0.8879668049792531,4,Potato - fungi,M_new,241,145,0.3756476683937824,44,386
0.7619047619047619,5,Potato - nematode,M_new,63,5,0.07352941176470588,44,68
0.9931506849315068,6,Rice - bacterial leaf blight,M_new,292,38,0.11515151515151516,44,330
0.8384279475982532,7,Rice - brown spot,M_new,229,96,0.2953846153846154,44,325
0.8566775244299675,8,Rice - leaf blast,M_new,307,27,0.08083832335329341,44,334
0.785472972972973,9,Tomato - septoria leaf spot,M_new,592,127,0.17663421418636996,44,719
0.9312638580931264,10,Tomato - Verticillium wilt,M_new,451,222,0.3298662704309064,44,673
0.9968253968253968,0,Cashew - leaf miner,M_new,315,240,0.43243243243243246,55,555
0.9927536231884058,1,Cashew - red rust,M_new,414,151,0.2672566371681416,55,565
0.885558583106267,2,Corn - leaf blight,M_new,367,123,0.2510204081632653,55,490
0.9866071428571429,3,Corn - streak virus,M_new,224,173,0.4357682619647355,55,397
0.9447852760736196,4,Potato - fungi,M_new,326,60,0.15544041450777202,55,386
0.7796610169491526,5,Potato - nematode,M_new,59,9,0.1323529411764706,55,68
0.9935275080906149,6,Rice - bacterial leaf blight,M_new,309,21,0.06363636363636363,55,330
0.7541528239202658,7,Rice - brown spot,M_new,301,24,0.07384615384615385,55,325
0.8973384030418251,8,Rice - leaf blast,M_new,263,71,0.2125748502994012,55,334
0.8432203389830508,9,Tomato - septoria leaf spot,M_new,472,247,0.3435326842837274,55,719
0.806930693069307,10,Tomato - Verticillium wilt,M_new,404,269,0.399702823179792,55,673
0.9984251968503937,0,Gourd,G_new,635,356,0.35923309788092833,11,991
0.9988851727982163,1,Hibiscus,G_new,897,431,0.3245481927710843,11,1328
1.0,2,Papaya,G_new,331,205,0.3824626865671642,11,536
0.998371335504886,3,Zucchini,G_new,614,261,0.29828571428571427,11,875
1.0,0,Gourd,G_new,640,351,0.35418768920282545,22,991
1.0,1,Hibiscus,G_new,941,387,0.2914156626506024,22,1328
1.0,2,Papaya,G_new,287,249,0.46455223880597013,22,536
0.9944954128440368,3,Zucchini,G_new,545,330,0.37714285714285717,22,875
0.9984662576687117,0,Gourd,G_new,652,339,0.3420787083753784,33,991
0.9988839285714286,1,Hibiscus,G_new,896,432,0.3253012048192771,33,1328
1.0,2,Papaya,G_new,317,219,0.4085820895522388,33,536
0.9978586723768736,3,Zucchini,G_new,467,408,0.4662857142857143,33,875
0.9984544049459042,0,Gourd,G_new,647,344,0.34712411705348134,44,991
0.9989816700610998,1,Hibiscus,G_new,982,346,0.2605421686746988,44,1328
1.0,2,Papaya,G_new,258,278,0.5186567164179104,44,536
0.9981412639405205,3,Zucchini,G_new,538,337,0.3851428571428571,44,875
0.9983108108108109,0,Gourd,G_new,592,399,0.4026236125126135,55,991
0.9988974641675854,1,Hibiscus,G_new,907,421,0.3170180722891566,55,1328
1.0,2,Papaya,G_new,305,231,0.43097014925373134,55,536
0.9964349376114082,3,Zucchini,G_new,561,314,0.3588571428571429,55,875
